posts,country
"الفضل ال كامل معروف
                في العلم هوم و الزعم
امشاو افيوسف كاع اتوف
                يملانا طيه الرحم",Mauritania
"مَا خَـالِـگْ شِ فِالزينْ      مُحَــــالْ إِگِــدْ إعُـــودْ 
كِيفـِـتْ لَيْلِتْ لَثْنَيْـــنْ     فاثْنَعشْ امْنْ الْمَوْلُودْ
محفوظ_ولد_عبو",Mauritania
"يالناس المان ساميين******لاحك فيكم عزة الملاح                                         
باش توكل عرض الناس لخرين******باسواق والكذب والتلتاح                           
عزت اطيحوهم من لعينيين ****** ذ ما يطيح كون الفات طاح                            
هو لكلام اور اظهرشين******وسو كاع  العاد مزاح                                      
غير العاد هامكم ش زين******كابح بيه افميدان لكباح                                    … See more",Mauritania
"الموزعي:
حزب الدول طر شيات
من لمور افلنتخابات
و المعارضة ماشفرات… See more",Mauritania
"تَمْ امْعَ قَلْظَكْ مَتْوَاسَــرْ◊لَاتَسْمِ حَدْ ابْشِ خَاسَــرْ
وَتْعَـامَ مَـرّة عَنْ يَااسَــرْ◊تَرْفَـدْ فِيْهْ النَاسْ أتَطْرَحْ
وَعْـرَفْ عَنْ مَـدّ تَـدَّاسَرْ◊مَـادَفّگْ حَدْ الْـحَدْ اگْدَحْ… See more",Mauritania
"يالبال الا تميتْ ... يامس وحدك فالبيتْ
مستحفي لين اغفيتْ ... ءٌ وعّاتك تلفونْ
وعكًبت امشيت ءٌ ريتْ ... اللي منها ممكونْ
رمشت عينْ.. ءٌ ولّيتْ ... مانك هون ءٌ ممحونْ
واليوم انراعِ فيكْ ... تحكي عت الموزونْ… See more",Mauritania
"أهل الشرك اوذَ ماهو سرْ 
           وهل الكبل ماني جاحد
عني نبغيهم فبلد فر
          ونْهم عندي كامل واحد
                              Barikalla Deddah",Mauritania
"الموزعي
اعطينا خير إل يصرك
أموال الشعب أعل بشور
ؤ برام اداه وحزب الرك
ؤ عزيز ومسعود ومنصور",Mauritania
"عالم مولان ال ون # منش حك ابذ البالكن
ومجنن ومزدحن# ولي من غيدات التشهار
عزتها حك اتفخرن# كل انهار اور كل انهار
ذل بلكتن ماه مين#  ول كتلتن بالتفخار
منت المختار اميلمنين# اميلمنين منت المختار",Mauritania
"محلف فاللجن    عن حد اجلجن
ومحلف مانجن    من موجود ابنيت
وعازم عني نهن    ولا نوخظ تيكيت
غير اليوم افمله     وحد فتنوكيت
يسمحل كلت اله    انت ذيك احصيت",Mauritania
